Commune,Radius,Citizens,Density,weekly_demand,weekly_fast_food_demand,demand_Monday,demand_Tuesday,demand_Wednesday,demand_Thursday,demand_Friday,demand_Saturday,demand_Sunday
Anniviers,7185,2790,11,925.6685238584118,462.8342619292059,118.48557105387673,147.1812952934875,156.4379805320716,148.1069638173459,166.62033429451412,115.70856548230148,73.12781338481453
Chalais,1055,3927,161,1302.903330893184,651.451665446592,166.77162635432754,207.16162961201624,220.19066292094809,208.46453294290944,234.5225995607731,162.862916361648,102.92936314056153
Chippis,186,1615,816,535.8260451725215,267.91302258626075,68.58573378208276,85.19634118243091,90.55460163415614,85.73216722760344,96.44868813105387,66.97825564656519,42.3302575686292
Crans-Montana,2893,10496,176,3482.371622372004,1741.185811186002,445.7435676636165,553.6970879571486,588.5208041808687,557.1794595795207,626.8268920269606,435.2964527965005,275.1073581673883
Grône,736,2556,121,848.0318089541579,424.01590447707895,108.5480715461322,134.8370576237111,143.3173757132527,135.68508943266528,152.64572561174842,106.00397611926974,66.99451290737848
Icogne,880,640,26,212.33973307146363,106.16986653573181,27.179485833147346,33.762017558362714,35.88541488907735,33.97435729143418,38.22115195286345,26.542466633932953,16.774838912645627
Lens,2595,4570,329,1516.23840646342,758.11920323171,194.07851602731776,241.0819066276838,256.244290692318,242.5981450341472,272.9229131634156,189.5298008079275,119.78283411061018
Noble-Contrée,945,4693,721,1557.047448913092,778.523724456546,199.3020734608758,247.57054437718165,263.14101886631255,249.12759182609472,280.2685408043566,194.6309311141365,123.00674846413428
Saint-Léonard,1110,2628,674,871.9200289246976,435.9600144623488,111.60576370236129,138.63528459902693,147.3544848882739,139.5072046279516,156.94560520644555,108.9900036155872,68.88168228505111
Sierre,4950,17829,930,5915.320470204883,2957.6602351024417,757.1610201862251,940.5359547625765,999.6891594646254,946.4512752327813,1064.757684636879,739.4150587756104,467.3103171461858
